Datetime,Open,High,Low,Close,Volume,Change,Change_Pct,Bar_Range,Body,Upper_Wick_Pct,Lower_Wick_Pct,VWAP,Cum_Volume,Vol_Delta,Cum_Vol_Delta,EMA_9,EMA_21,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,Vol_SMA_20,Rel_Volume
2026-06-18 10:20:00-04:00,16.72,16.77,16.6702,16.76,16320,0.09,0.5399,0.0998,0.04,10.0203,49.8987,16.816,304634.0,16320,-82598.0,16.7846,17.0452,37.0861,-0.2856,-0.2781,-0.0076,17.968,17.0773,16.1865,26030.35,0.627
2026-06-18 10:25:00-04:00,16.7531,17.01,16.7,17.01,30577,0.25,1.4916,0.31,0.2569,0.0,17.1286,16.8243,335211.0,30577,-52021.0,16.8297,17.042,46.0017,-0.2517,-0.2728,0.0211,17.8611,17.0378,16.2145,27029.65,1.1312
2026-06-18 10:30:00-04:00,16.98,17.35,16.8,17.15,134958,0.14,0.823,0.55,0.17,36.3637,32.7273,16.9034,470169.0,134958,82937.0,16.8937,17.0518,50.2532,-0.211,-0.2604,0.0494,17.7822,17.0118,16.2414,33190.55,4.0662
2026-06-18 10:35:00-04:00,17.1899,17.25,16.92,16.93,103315,-0.22,-1.2828,0.33,0.2599,18.2123,3.0304,16.9268,573484.0,-103315,-20378.0,16.901,17.0407,44.3446,-0.1943,-0.2472,0.0529,17.6806,16.9748,16.269,37757.15,2.7363
2026-06-18 10:40:00-04:00,16.93,16.96,16.82,16.8781,31676,-0.0519,-0.3066,0.14,0.0519,21.4278,41.5,16.9247,605160.0,-31676,-52054.0,16.8964,17.026,43.0584,-0.1831,-0.2344,0.0513,17.5861,16.9397,16.2933,38874.9,0.8148
2026-06-18 10:45:00-04:00,16.83,16.9099,16.6565,16.72,46729,-0.1581,-0.9367,0.2534,0.11,31.5314,25.0589,16.913,651889.0,-46729,-98783.0,16.8611,16.9981,39.3173,-0.1849,-0.2245,0.0396,17.5021,16.9017,16.3013,40146.3,1.164
2026-06-18 10:50:00-04:00,16.76,16.76,16.51,16.605,32133,-0.115,-0.6878,0.25,0.155,0.0,37.9997,16.8995,684022.0,-32133,-130916.0,16.8099,16.9624,36.8119,-0.1934,-0.2183,0.0249,17.4187,16.8602,16.3017,40309.1,0.7972
2026-06-18 10:55:00-04:00,16.625,16.75,16.5533,16.68,14397,0.075,0.4517,0.1967,0.055,35.5872,36.4512,16.8946,698419.0,14397,-116519.0,16.7839,16.9367,39.5188,-0.1918,-0.213,0.0212,17.301,16.8202,16.3395,39740.2,0.3623
2026-06-18 11:00:00-04:00,16.685,16.72,16.57,16.6,19564,-0.08,-0.4796,0.15,0.085,23.3333,20.0005,16.8874,717983.0,-19564,-136083.0,16.7471,16.9061,37.6653,-0.1948,-0.2093,0.0146,17.1812,16.7797,16.3782,38549.45,0.5075
2026-06-18 11:05:00-04:00,16.63,16.71,16.63,16.675,15947,0.075,0.4518,0.08,0.045,43.7499,0.0,16.8827,733930.0,15947,-120136.0,16.7327,16.8851,40.4835,-0.1889,-0.2052,0.0163,17.0823,16.7502,16.4182,36696.5,0.4346
2026-06-18 11:10:00-04:00,16.69,16.7899,16.6525,16.7868,22640,0.1118,0.6705,0.1374,0.0968,2.2558,27.2929,16.8785,756570.0,22640,-97496.0,16.7435,16.8762,44.5109,-0.1732,-0.1988,0.0256,17.063,16.7426,16.4221,32894.65,0.6883
2026-06-18 11:15:00-04:00,16.74,16.79,16.69,16.69,5449,-0.0968,-0.5766,0.1,0.05,50.001,0.0,16.8774,762019.0,-5449,-102945.0,16.7328,16.8592,41.8691,-0.1667,-0.1924,0.0257,17.0529,16.7521,16.4512,30336.5,0.1796
2026-06-18 11:20:00-04:00,16.735,16.735,16.6,16.64,22747,-0.05,-0.2996,0.135,0.095,0.0,29.6288,16.8711,784766.0,-22747,-125692.0,16.7143,16.8393,40.531,-0.1637,-0.1867,0.023,17.0472,16.7566,16.4659,29590.05,0.7687
2026-06-18 11:25:00-04:00,16.6086,16.67,16.5728,16.5728,13571,-0.0672,-0.4038,0.0972,0.0358,63.1679,0.0,16.8665,798337.0,-13571,-139263.0,16.686,16.8151,38.739,-0.1648,-0.1823,0.0175,17.0498,16.7477,16.4456,29564.85,0.459
2026-06-18 11:30:00-04:00,16.57,16.67,16.5509,16.64,6808,0.0672,0.4055,0.1191,0.07,25.1894,16.037,16.8645,805145.0,6808,-132455.0,16.6768,16.7992,41.5233,-0.1584,-0.1775,0.0191,17.0489,16.7489,16.449,29443.15,0.2312
2026-06-18 11:35:00-04:00,16.61,16.61,16.4079,16.47,36160,-0.17,-1.0216,0.2021,0.14,0.0,30.727,16.8486,841305.0,-36160,-168615.0,16.6354,16.7692,36.9483,-0.1652,-0.1751,0.0098,17.0623,16.7384,16.4146,30496.25,1.1857
2026-06-18 11:40:00-04:00,16.5199,16.5199,16.455,16.455,8897,-0.015,-0.0911,0.0649,0.0649,0.0,0.0,16.8447,850202.0,-8897,-177512.0,16.5993,16.7407,36.5655,-0.1698,-0.174,0.0042,17.0686,16.7219,16.3752,30118.65,0.2954
2026-06-18 11:45:00-04:00,16.41,16.51,16.41,16.475,5413,0.02,0.1215,0.1,0.065,34.9997,0.0,16.8423,855615.0,5413,-172099.0,16.5745,16.7165,37.4954,-0.1699,-0.1732,0.0033,17.0597,16.7027,16.3456,29064.4,0.1862
2026-06-18 11:50:00-04:00,16.5,16.5399,16.46,16.53,9086,0.055,0.3338,0.0799,0.03,12.3893,50.0633,16.8388,864701.0,9086,-163013.0,16.5656,16.6996,40.0961,-0.1637,-0.1713,0.0076,17.0615,16.6969,16.3323,29247.0,0.3107
2026-06-18 11:55:00-04:00,16.495,16.62,16.495,16.54,6746,0.01,0.0605,0.125,0.045,63.9999,0.0,16.8366,871447.0,6746,-156267.0,16.5605,16.6851,40.5802,-0.1561,-0.1683,0.0121,17.0616,16.6904,16.3192,29156.65,0.2314
2026-06-18 12:00:00-04:00,16.535,16.56,16.49,16.49,7671,-0.05,-0.3023,0.07,0.045,35.7139,0.0,16.8338,879118.0,-7671,-163938.0,16.5464,16.6673,38.888,-0.1524,-0.1651,0.0127,17.057,16.6769,16.2968,28724.2,0.2671
2026-06-18 12:05:00-04:00,16.5165,16.52,16.445,16.4623,10319,-0.0277,-0.168,0.075,0.0542,4.6666,23.066,16.8296,889437.0,-10319,-174257.0,16.5296,16.6487,37.944,-0.15,-0.1621,0.0121,17.0067,16.6495,16.2923,27711.3,0.3724
2026-06-18 12:10:00-04:00,16.45,16.45,16.3214,16.3214,11512,-0.1409,-0.8559,0.1286,0.1286,0.0,0.0,16.8237,900949.0,-11512,-185769.0,16.4879,16.6189,33.4907,-0.1576,-0.1612,0.0036,16.9086,16.6081,16.3075,21539.0,0.5345
2026-06-18 12:15:00-04:00,16.35,16.3799,16.2504,16.2519,19487,-0.0695,-0.4258,0.1295,0.0981,23.0886,1.1577,16.8125,920436.0,-19487,-205256.0,16.4407,16.5856,31.5252,-0.1673,-0.1624,-0.0049,16.8748,16.5742,16.2735,17347.6,1.1233
2026-06-18 12:20:00-04:00,16.262,16.3683,16.262,16.32,7128,0.0681,0.419,0.1063,0.058,45.4371,0.0,16.8087,927564.0,7128,-198128.0,16.4166,16.5614,35.5184,-0.1676,-0.1634,-0.0041,16.8313,16.5463,16.2612,16120.2,0.4422
2026-06-18 12:25:00-04:00,16.3,16.36,16.2803,16.36,5299,0.04,0.2451,0.0797,0.06,0.0,24.7164,16.806,932863.0,5299,-192829.0,16.4053,16.5431,37.8124,-0.1627,-0.1633,0.0006,16.8126,16.5283,16.2439,14048.7,0.3772
2026-06-18 12:30:00-04:00,16.34,16.35,16.21,16.2601,28241,-0.0999,-0.6106,0.14,0.0799,7.143,35.7856,16.7903,961104.0,-28241,-221070.0,16.3762,16.5174,34.5103,-0.165,-0.1636,-0.0014,16.8168,16.511,16.2053,13854.1,2.0385
2026-06-18 12:35:00-04:00,16.245,16.28,16.21,16.28,9678,0.0199,0.1224,0.07,0.035,0.0,50.0014,16.785,970782.0,9678,-211392.0,16.357,16.4958,35.7147,-0.1633,-0.1635,0.0003,16.8025,16.491,16.1795,13618.15,0.7107
2026-06-18 12:40:00-04:00,16.31,16.365,16.27,16.345,13354,0.065,0.3993,0.095,0.035,21.0533,42.1045,16.7788,984136.0,13354,-198038.0,16.3546,16.4821,39.6204,-0.1549,-0.1618,0.0069,16.7918,16.4783,16.1647,13307.65,1.0035
2026-06-18 12:45:00-04:00,16.32,16.3446,16.29,16.335,5310,-0.01,-0.0612,0.0546,0.015,17.5854,54.9431,16.7763,989446.0,5310,-192728.0,16.3507,16.4687,39.2255,-0.1474,-0.1589,0.0115,16.7667,16.4613,16.1559,12775.8,0.4156
2026-06-18 12:50:00-04:00,16.3301,16.3699,16.28,16.28,9017,-0.055,-0.3367,0.0899,0.0501,44.2726,0.0,16.7721,998463.0,-9017,-201745.0,16.3365,16.4516,37.0392,-0.1442,-0.156,0.0118,16.7101,16.4359,16.1617,12094.65,0.7455
2026-06-18 12:55:00-04:00,16.25,16.352,16.235,16.285,12267,0.005,0.0307,0.117,0.035,57.2651,12.8201,16.7663,1010730.0,12267,-189478.0,16.3262,16.4364,37.3808,-0.1397,-0.1527,0.013,16.67,16.4157,16.1614,12435.55,0.9864
2026-06-18 13:00:00-04:00,16.29,16.3,16.2501,16.3,6652,0.015,0.0921,0.0499,0.01,0.0,79.9633,16.7631,1017382.0,6652,-182826.0,16.321,16.424,38.4599,-0.1334,-0.1489,0.0155,16.6346,16.3987,16.1627,11630.8,0.5719
2026-06-18 13:05:00-04:00,16.305,16.416,16.28,16.39,8577,0.09,0.5521,0.136,0.085,19.1184,18.3821,16.7598,1025959.0,8577,-174249.0,16.3348,16.4209,44.6256,-0.1197,-0.143,0.0233,16.6108,16.3895,16.1683,11381.1,0.7536
2026-06-18 13:10:00-04:00,16.36,16.4,16.31,16.3899,5628,-0.0001,-0.0006,0.09,0.0299,11.2215,55.5567,16.7576,1031587.0,5628,-168621.0,16.3458,16.4181,44.6203,-0.1076,-0.136,0.0283,16.5643,16.377,16.1897,11322.1,0.4971
2026-06-18 13:15:00-04:00,16.39,16.48,16.36,16.48,13498,0.0901,0.5497,0.12,0.09,0.0,24.9992,16.7535,1045085.0,13498,-155123.0,16.3726,16.4237,50.3905,-0.0898,-0.1267,0.037,16.5659,16.3775,16.1891,10189.0,1.3248
2026-06-18 13:20:00-04:00,16.4799,16.4799,16.395,16.43,6433,-0.05,-0.3034,0.0849,0.0499,0.0,41.2248,16.7516,1051518.0,-6433,-161556.0,16.3841,16.4243,47.4367,-0.0787,-0.1171,0.0384,16.5628,16.3763,16.1897,10065.8,0.6391
2026-06-18 13:25:00-04:00,16.395,16.4146,16.33,16.4,7372,-0.03,-0.1826,0.0846,0.005,17.2585,76.8324,16.749,1058890.0,7372,-154184.0,16.3873,16.4221,45.7055,-0.0716,-0.108,0.0364,16.5537,16.3725,16.1914,10163.75,0.7253
2026-06-18 13:30:00-04:00,16.43,16.45,16.42,16.425,3379,0.025,0.1524,0.03,0.005,66.6667,16.6635,16.748,1062269.0,-3379,-157563.0,16.3948,16.4224,47.4273,-0.0632,-0.099,0.0359,16.5348,16.3673,16.1998,9878.4,0.3421
2026-06-18 13:35:00-04:00,16.43,16.43,16.36,16.39,5213,-0.035,-0.2131,0.07,0.04,0.0,42.8556,16.7462,1067482.0,-5213,-162776.0,16.3939,16.4194,45.2631,-0.0587,-0.091,0.0323,16.5069,16.3598,16.2127,9801.75,0.5318
2026-06-18 13:40:00-04:00,16.44,16.47,16.43,16.47,4617,0.08,0.4881,0.04,0.03,0.0,25.0012,16.745,1072099.0,4617,-158159.0,16.4091,16.424,50.7905,-0.0481,-0.0824,0.0343,16.5024,16.3588,16.2152,9649.05,0.4785
