Datetime,Open,High,Low,Close,Volume,Change,Change_Pct,Bar_Range,Body,Upper_Wick_Pct,Lower_Wick_Pct,VWAP,Cum_Volume,Vol_Delta,Cum_Vol_Delta,EMA_9,EMA_21,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,Vol_SMA_20,Rel_Volume
2026-06-12 14:45:00-04:00,17.5,17.534,17.5,17.534,2576,-0.0189,-0.1077,0.034,0.034,0.0,0.0,17.593,704177.0,2576,-151623.0,17.4984,17.5005,52.2252,-0.0084,-0.0162,0.0078,17.6222,17.5037,17.3852,5037.25,0.5114
2026-06-12 14:50:00-04:00,17.505,17.59,17.48,17.575,9091,0.041,0.2338,0.11,0.07,13.6357,22.7268,17.5924,713268.0,9091,-142532.0,17.5137,17.5073,55.1628,-0.0016,-0.0133,0.0117,17.6301,17.5074,17.3848,5144.15,1.7673
2026-06-12 14:55:00-04:00,17.6,17.6166,17.58,17.6091,5460,0.0341,0.194,0.0366,0.0091,20.4909,54.6459,17.5925,718728.0,5460,-137072.0,17.5328,17.5165,57.5033,0.0066,-0.0093,0.0159,17.6432,17.5124,17.3816,5316.1,1.0271
2026-06-12 15:00:00-04:00,17.6,17.6,17.49,17.5499,7253,-0.0592,-0.3362,0.11,0.0501,0.0,54.4545,17.592,725981.0,-7253,-144325.0,17.5362,17.5196,52.3903,0.0081,-0.0058,0.014,17.6407,17.5114,17.3821,5567.65,1.3027
2026-06-12 15:05:00-04:00,17.535,17.6,17.535,17.6,1937,0.0501,0.2855,0.065,0.065,0.0,0.0,17.592,727918.0,1937,-142388.0,17.549,17.5269,55.9592,0.0133,-0.002,0.0153,17.6386,17.5109,17.3832,5544.25,0.3494
2026-06-12 15:10:00-04:00,17.61,17.61,17.58,17.6,4772,0.0,0.0,0.03,0.01,0.0,66.6667,17.592,732690.0,-4772,-147160.0,17.5592,17.5335,55.9592,0.0171,0.0018,0.0153,17.6406,17.5114,17.3822,5514.6,0.8653
2026-06-12 15:15:00-04:00,17.58,17.58,17.5,17.54,10225,-0.06,-0.3409,0.08,0.04,0.0,50.0012,17.5913,742915.0,-10225,-157385.0,17.5553,17.5341,50.6824,0.0152,0.0045,0.0107,17.6335,17.5089,17.3843,5886.9,1.7369
2026-06-12 15:20:00-04:00,17.58,17.58,17.565,17.565,1397,0.025,0.1425,0.015,0.015,0.0,0.0,17.5912,744312.0,-1397,-158782.0,17.5573,17.5369,52.6844,0.0155,0.0067,0.0088,17.6394,17.5127,17.3859,4314.45,0.3238
2026-06-12 15:25:00-04:00,17.6,17.63,17.59,17.5934,13014,0.0284,0.1617,0.04,0.0066,74.9988,8.4974,17.5915,757326.0,-13014,-171796.0,17.5645,17.5421,54.923,0.0178,0.0089,0.0089,17.6488,17.5188,17.3888,4836.85,2.6906
2026-06-12 15:30:00-04:00,17.63,17.64,17.57,17.58,26781,-0.0134,-0.0762,0.07,0.05,14.2861,14.2861,17.5917,784107.0,-26781,-198577.0,17.5676,17.5455,53.6337,0.0183,0.0108,0.0075,17.6553,17.5233,17.3913,5926.8,4.5186
2026-06-12 15:35:00-04:00,17.58,17.58,17.52,17.58,18778,0.0,0.0,0.06,0.0,0.0,100.0,17.5909,802885.0,18778,-179799.0,17.5701,17.5486,53.6337,0.0186,0.0123,0.0062,17.661,17.5268,17.3926,6740.2,2.786
2026-06-12 15:40:00-04:00,17.59,17.62,17.4447,17.5225,22640,-0.0575,-0.3271,0.1753,0.0675,17.1139,44.3802,17.5892,825525.0,-22640,-202439.0,17.5606,17.5463,48.0228,0.0139,0.0127,0.0013,17.6616,17.5282,17.3947,7754.8,2.9195
2026-06-12 15:45:00-04:00,17.49,17.49,17.3001,17.355,42283,-0.1675,-0.9559,0.1899,0.135,0.0,28.9096,17.5791,867808.0,-42283,-244722.0,17.5195,17.5289,36.1566,-0.0032,0.0095,-0.0127,17.6736,17.5239,17.3742,9572.35,4.4172
2026-06-12 15:50:00-04:00,17.36,17.39,17.345,17.3893,15809,0.0343,0.1976,0.045,0.0293,1.5555,33.3362,17.5754,883617.0,15809,-228913.0,17.4934,17.5162,39.4557,-0.0139,0.0048,-0.0187,17.6786,17.5214,17.3642,10131.4,1.5604
2026-06-12 15:55:00-04:00,17.345,17.42,17.31,17.38,71567,-0.0093,-0.0535,0.11,0.035,36.3643,31.8179,17.5601,955184.0,71567,-157346.0,17.4707,17.5038,38.8692,-0.0228,-0.0007,-0.0221,17.6799,17.5209,17.3619,13621.1,5.2541
2026-06-15 09:30:00-04:00,18.07,18.2899,17.8569,18.12,114988,0.74,4.2578,0.433,0.05,39.2376,49.2148,18.0889,114988.0,114988,114988.0,17.6006,17.5598,73.1147,0.0295,0.0053,0.0241,17.8613,17.5564,17.2515,19287.0,5.9619
2026-06-15 09:35:00-04:00,18.14,18.1899,17.7,17.755,25099,-0.365,-2.0144,0.4899,0.385,10.1858,11.2265,18.0518,140087.0,-25099,89889.0,17.6315,17.5776,56.3474,0.041,0.0125,0.0285,17.885,17.5683,17.2516,20174.55,1.2441
2026-06-15 09:40:00-04:00,17.8,17.93,17.7,17.92,28031,0.165,0.9293,0.23,0.12,4.3479,43.4777,18.0181,168118.0,28031,117920.0,17.6892,17.6087,60.7315,0.0627,0.0225,0.0402,17.9407,17.5896,17.2384,21439.7,1.3074
2026-06-15 09:45:00-04:00,17.92,18.13,17.8,18.02,17234,0.1,0.558,0.33,0.1,33.3329,36.3639,18.0149,185352.0,17234,135154.0,17.7553,17.6461,63.1472,0.087,0.0354,0.0516,18.0122,17.6171,17.2219,22134.3,0.7786
